fighter,Knockdown,Significant_Strike_Percent,Takedown_Percent,Submission_Attempt,Ground_Control,win_by,No_of_rounds,Weight Division,Significant_Strikes_Landed,Significant_Strikes_Attempted,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Ground_Strikes_Landed,time_fought,Gender
 Alatengheili,0.2344963768507818,-0.39215798984880523,0.2498493889649317,-0.46013123491311975,0.565269602337277,-0.5312911765069215,-0.31586698122621565,-0.8590695926448203,-0.4004792751736761,-0.2183142899101935,0.1591903933318242,0.19012075106111367,0.7438558163431045,0.7421735329203845,-0.3940939738654257,-0.07944813218071152,0.35021973522625305
 Aoriqileng,0.9087553832903691,0.8304489515735991,0.6783816061061975,-0.46013123491311975,0.0643100894295474,0.26133115874586527,-0.31586698122621565,-0.8590695926448203,0.41214950561215186,0.04099207210996619,0.7848845808542309,0.38963596801430206,-0.04197245685480683,-0.05350221633469556,0.9380692602819377,0.03232444641981994,0.35021973522625305
 Maheshate,0.9087553832903691,-0.08650625449320419,-0.7500591176980219,-0.46013123491311975,-0.7674356667340495,0.6576423263722586,-0.31586698122621565,-0.33300217518505304,-0.18446402964832942,0.1635732614285871,-0.5041962151256674,-0.09429455821258041,-0.6313436617532403,-0.5839527158380821,-0.5421121109929106,-0.4637241048899767,0.35021973522625305
 Mizuki,-0.43976262958880546,0.4025365220757576,0.6783816061061975,-0.46013123491311975,0.4428978129247018,-0.1349800088805281,-0.31586698122621565,-1.3851370101045877,0.5355867887694928,0.29086911187484726,0.6190379287398581,0.4448210280226308,-0.04197245685480683,-0.23031904950249107,-0.431098508147297,0.7085023599370845,-2.855350225634682
 Rongzhu,0.2344963768507818,0.13763835143423667,-0.511985663730652,-0.46013123491311975,-0.6718327062554751,-0.1349800088805281,-0.31586698122621565,-0.33300217518505304,1.1219138837668625,0.9650656531272624,0.43057582406443434,0.6188662172796674,-0.43488659345376246,-0.4071358826702866,-0.5051075767110395,0.20414014575617404,0.35021973522625305
 Sumudaerji,0.23449637685078184,-0.16801338392136445,-0.7500591176980219,-0.46013123491311975,-0.7636115483149065,-0.5312911765069214,-0.31586698122621565,-1.122103301374704,-0.09188606728032371,0.026848088727048396,-0.22527230020604025,-0.08580454898052985,-0.6313436617532403,-0.7607695490058776,-0.5421121109929106,-0.08221935313774946,0.35021973522625305
 Wulijiburen,-0.43976262958880546,-0.2698972957065648,0.4783999047736067,0.1489565346167536,0.4973915003974892,-0.1349800088805281,-0.31586698122621565,-0.5960358839149367,-0.6370674012252463,-0.5506978994087617,-0.5682733307153114,-0.5676125728993997,1.431455555391277,1.4936450738835152,-0.26457810387887654,0.7085023599370845,0.35021973522625305
 Yizha,-0.43976262958880546,-0.08650625449320415,-0.7500591176980219,-0.46013123491311975,-0.7444909562191916,-0.1349800088805281,-0.31586698122621565,-0.5960358839149367,0.10355629771879947,0.10699732789691589,0.913038812033519,0.6995213049841479,-0.6313436617532403,0.30013145000089547,-0.431098508147297,0.7085023599370845,0.35021973522625305
AJ Cunningham,-0.43976262958880546,-0.39215798984880523,-0.7500591176980219,0.1489565346167536,-0.6928653575607615,0.4594867425590619,-0.31586698122621565,-0.33300217518505304,-0.3593335141212291,-0.29610619851624137,-0.6361196883984639,-0.4975699967349824,-0.6313436617532403,-0.7607695490058776,-0.5421121109929106,-0.156118578658762,0.35021973522625305
AJ Dobson,-0.43976262958880546,-0.3717812074917652,0.8307486166453141,-0.46013123491311975,-0.00834816053416911,0.26133115874586527,-0.31586698122621565,0.4560989510045979,0.27842578219169917,0.4134503011934682,0.11395948820972246,0.35143092647007457,0.35094167974414886,-0.23031904950249105,-0.3940939738654257,0.12931717991614886,0.35021973522625305
